ID,Category,LINK,SLOT (Numeric International),STANDARD (Numeric International),SLOT (Numeric 1-7),STANDARD (Numeric 1-7),SLOT (Descriptive),STANDARD (Descriptive),,
0,Corners,INTO,LEFT_HAIRPIN,,LEFT_1,,LEFT_HAIRPIN,,,
1,Corners,INTO,LEFT_1,,LEFT_2,,LEFT_SLOW,,,
2,Corners,INTO,LEFT_2,,LEFT_3,,LEFT_K,,,
3,Corners,INTO,LEFT_3,,LEFT_4,,LEFT_MEDIUM,,,
4,Corners,INTO,LEFT_4,,LEFT_5,,LEFT_FAST,,,
5,Corners,INTO,LEFT_5,,LEFT_6,,LEFT_EASY,,,
6,Corners,INTO,RIGHT_5,,RIGHT_6,,RIGHT_EASY,,,
7,Corners,INTO,RIGHT_4,,RIGHT_5,,RIGHT_FAST,,,
8,Corners,INTO,RIGHT_3,,RIGHT_4,,RIGHT_MEDIUM,,,
9,Corners,INTO,RIGHT_2,,RIGHT_3,,RIGHT_K,,,
10,Corners,INTO,RIGHT_1,,RIGHT_2,,RIGHT_SLOW,,,
11,Corners,INTO,RIGHT_HAIRPIN,,RIGHT_1,,RIGHT_HAIRPIN,,,
12,Line,,TWISTY,,,,,,,
13,Links,,DISTANCE_CALL,,,,,,,
14,Modifier,,NARROWS,,,,,,,
15,Modifier,,WIDEOUT,,,,,,,
16,Obstacles,,OVER_CREST,,,,,,,
17,Obstacles,,FORD,,,,,,,
18,Cautions,,CARE,,,,,,,
19,Obstacles,,BUMP,,,,,,,
20,Obstacles,,JUMP,,,,,,,
21,Links,,START,,,,,,,
22,Links,INTO,FINISH,,,,,,,
23,Links,,SPLIT,,,,,,,
24,Links,,END_OF_TRACK,,,,,,,
25,Links,,NEXT_LAP,,,,,,,
26,Links,,TO_FINISH,,,,,,,
27,Obstacles,,BRIDGE,,,,,,,
28,Line,,GOSTRAIGHT,,,,,,,
29,Line,,KEEP_RIGHT,,,,,,,
30,Line,,KEEP_LEFT,,,,,,,
31,Line,,KEEP_MIDDLE,,,,,,,
32,Cautions,,CAUTION,,,,,,,
33,Cautions,,DOUBLE_CAUTION,,,,,,,
34,Cautions,,TRIPLE_CAUTION,,,,,,,
35,Cautions,,CAREIN,,,,,,,
36,Cautions,,CAREOUT,,,,,,,
37,Cautions,,PRECISE,,,,,,,
38,Cautions,,DECEPTIVE,,,,,,,
39,Cautions,,HIDDEN,,,,,,,
40,Cautions,,BLIND,,,,,,,
